skill,posting_count,percentage_US_BA_postings
project management,2415,44.182217343578486
communication,2314,42.334431028174166
data analysis,1685,30.826930113428467
problem solving,1473,26.94840834248079
leadership,1156,21.14892060007318
sql,1075,19.667032564946947
analytical skills,1022,18.697402122210026
teamwork,906,16.575192096597146
communication skills,904,16.53860226856934
bachelor's degree,801,14.654226125137212
requirements gathering,756,13.830954994511528
problemsolving,733,13.410171972191732
collaboration,729,13.336992316136115
risk management,655,11.983168679107207
attention to detail,631,11.544090742773509
